id,name,parent_id,depth,status,is_paragroup,defining_snps,source_version
Y,Y,,0,normal,False,,2008
A,A,Y,1,normal,False,"M91, P97",2008
BT,BT,Y,1,normal,False,"SRY1532.1, M42, M94, M139, M299
   (This category is also referred to as YxA.)",2008
B,B,BT,2,normal,False,"M60, M181, P85, P90",2008
CF,CF,BT,2,normal,False,"M168, M294, P9, .1",2008
DE,DE,CF,3,normal,False,"M1, M145, P205, M203, P144, P153, P165, P167, P183",2008
D,D,DE,4,normal,False,"M174, 021355",2008
E,E,DE,4,normal,False,"M40, M96, P29, P150, P152, P154, P155, P156, P162, P168, P169, P170, P171, P172, P173, P174, P175, P176",2008
"C,F","C,F",CF,3,new,False,P143,2008
C,C,"C,F",4,normal,False,M130,2008
F,F,"C,F",4,normal,False,"M89, M213, P137, M235, P14, P133, P134, P135, P136, P138, P139, P140, P141, P142, P145, P146, P148, P149, P151, P157, P158, P159, P160, P161, P163, P166, P187, P142. P145",2008
G,G,F,5,normal,False,"M201, P257, U2, U3, U6, U7, U12, U17, U20, U21, U27, U33, U23",2008
H,H,F,5,normal,False,"M69, M370",2008
IJK,IJK,F,5,new,False,"L15, S137, L16, S138",2008
IJ,IJ,IJK,6,normal,False,"M429, P125, P123, P124, P126, P127, P129, P130, S2, S22",2008
I,I,IJ,7,normal,False,"M170, M258, P19, P38, P212, U179, U179   (P38 formerly I1)",2008
J,J,IJ,7,normal,False,"12f2.1, M304, P209, S6, S34, S35",2008
K,K,IJK,6,normal,False,"M9, P128, P131, P132",2008
L,L,K,7,normal,False,"M11, M20, M22, M61, M185, M295",2008
M,M,K,7,normal,False,P256,2008
NO,NO,K,7,normal,False,"M214, P188, P192, P193, P194, P195",2008
N,N,NO,8,normal,False,M231,2008
O,O,NO,8,normal,False,"M175, P186, P191, P196",2008
P,P,K,7,normal,False,"92R7, M45, M74, P27, .1, P207, P69, P226, P228, P230, P235, P237, P239, P240, P243, P244, P281, P282, P283, P284, P295",2008
Q,Q,P,8,normal,False,M242,2008
R,R,P,8,normal,False,"M207, M306, P224, P227, P229, P232, P280, P285, S4, S8, S9",2008
S,S,K,7,new,False,"M230, P202, P204",2008
T,T,K,7,new,False,"M70, M184, M193, M272   (formerly K2)",2008
A*,A*,,1,renamed,True,,2008
A1,A1,,1,renamed,False,P108,2008
A1*,A1*,,2,new,True,,2008
A1a,A1a,,2,new,False,"M31, P82",2008
A1b,A1b,,2,new,False,P114,2008
A2,A2,,1,normal,False,"M6, M14, M23, M29, M49, M71, M135, M141, M196, M206, M212, M276, P247, M277, P248, MEH1, P4, P5, P36.1",2008
A2*,A2*,,2,normal,True,,2008
A2a,A2a,,2,normal,False,M114,2008
A2b,A2b,,2,normal,False,P28,2008
A2c,A2c,,2,new,False,P262,2008
A3,A3,,1,normal,False,M32,2008
A3*,A3*,,2,normal,True,,2008
A3a,A3a,,2,normal,False,"M28, M59",2008
A3b,A3b,,2,normal,False,"M144, M190, M220, P289",2008
A3b*,A3b*,,3,normal,True,,2008
A3b1,A3b1,,3,normal,False,"M51, P100, P291",2008
A3b1*,A3b1*,,4,new,True,,2008
A3b1a,A3b1a,,4,new,False,"P71, P102",2008
A3b2,A3b2,,3,normal,False,"M13, M127, M202, M219, M305",2008
A3b2*,A3b2*,,4,normal,True,,2008
A3b2a,A3b2a,,4,normal,False,M171,2008
A3b2b,A3b2b,,4,normal,False,M118,2008
B*,B*,,1,normal,True,,2008
B1,B1,,1,normal,False,"M236, M288",2008
B1*,B1*,,2,normal,True,,2008
B1a,B1a,,2,normal,False,M146,2008
B2,B2,,1,normal,False,M182,2008
B2*,B2*,,2,normal,True,,2008
B2a,B2a,,2,normal,False,M150,2008
B2a*,B2a*,,3,normal,True,,2008
B2a1,B2a1,,3,normal,False,M218,2008
B2a1*,B2a1*,,4,normal,True,,2008
B2a1a,B2a1a,,4,normal,False,"M109, M152, P32, P50",2008
B2a2,B2a2,,3,normal,False,M108.1,2008
B2a2*,B2a2*,,4,normal,True,,2008
B2a2a,B2a2a,,4,normal,False,"M43, P111",2008
B2b,B2b,,2,normal,False,"M112, M192, 50f2, (P)",2008
B2b*,B2b*,,3,normal,True,,2008
B2b1,B2b1,,3,normal,False,P6,2008
B2b2,B2b2,,3,normal,False,"M115, M169",2008
B2b3,B2b3,,3,normal,False,"M30, M129",2008
B2b3*,B2b3*,,4,normal,True,,2008
B2b3a,B2b3a,,4,normal,False,M108.2,2008
B2b4,B2b4,,3,normal,False,P7,2008
B2b4*,B2b4*,,4,normal,True,,2008
B2b4a,B2b4a,,4,normal,False,"P8, P70",2008
B2b4b,B2b4b,,4,normal,False,"MSY2.1, M211",2008
B2c,B2c,,2,new,False,P112,2008
C*,C*,,1,normal,True,,2008
C1,C1,,1,normal,False,"M8, M105, M131, P122",2008
C1*,C1*,,2,new,True,,2008
C1a,C1a,,2,new,False,P121,2008
C2,C2,,1,normal,False,M38,2008
C2*,C2*,,2,renamed,True,,2008
C2a,C2a,,2,renamed,False,M208   (formerly C2b),2008
C2a*,C2a*,,3,new,True,,2008
C2a1,C2a1,,3,new,False,P33   (formerly C2a),2008
C2a2,C2a2,,3,new,False,P54,2008
C3,C3,,1,normal,False,"M217, P44, PK2",2008
C3*,C3*,,2,normal,True,,2008
C3a,C3a,,2,normal,False,M93,2008
C3b,C3b,,2,normal,False,P39,2008
C3c,C3c,,2,normal,False,"M48, M77, M86",2008
C3d,C3d,,2,normal,False,M407,2008
C3e,C3e,,2,new,False,P53.1,2008
C3f,C3f,,2,new,False,P62,2008
C4,C4,,1,normal,False,"M347, P309",2008
C4*,C4*,,2,normal,True,,2008
C4a,C4a,,2,renamed,False,M210   (formerly C4b),2008
C4b,C4b,,2,renamed,False,"DYS390.1 del   
(formerly C4a; not listed in Karafet 2008)",2008
C5,C5,,1,normal,False,M356,2008
C5*,C5*,,2,new,True,,2008
C5a,C5a,,2,new,False,P92,2008
C6,C6,,1,new,False,P55,2008
D*,D*,,1,normal,True,,2008
D1,D1,,1,normal,False,M15,2008
D1*,D1*,,2,new,True,,2008
D1a,D1a,,2,new,False,N1,2008
D1a*,D1a*,,3,new,True,,2008
D1a1,D1a1,,3,new,False,N2,2008
D2,D2,,1,normal,False,"M55, M57, M64.1, M179, M359.1, P37.1, P190, 12f2.2",2008
D2*,D2*,,2,normal,True,,2008
D2a,D2a,,2,normal,False,M116.1,2008
D2a*,D2a*,,3,normal,True,,2008
D2a1,D2a1,,3,normal,False,M125,2008
D2a1*,D2a1*,,4,normal,True,,2008
D2a1a,D2a1a,,4,normal,False,P42,2008
D2a1a*,D2a1a*,,5,new,True,,2008
D2a1a1,D2a1a1,,5,new,False,P12   (formerly in D2),2008
D2a1b,D2a1b,,4,new,False,022457,2008
D2a1b*,D2a1b*,,5,new,True,,2008
D2a1b1,D2a1b1,,5,new,False,P53.2   (formerly D2a1b),2008
D2a2,D2a2,,3,normal,False,M151,2008
D2a3,D2a3,,3,new,False,P120,2008
D3,D3,,1,renamed,False,P99,2008
D3*,D3*,,2,new,True,,2008
D3a,D3a,,2,new,False,P47   (formerly D3),2008
E*,E*,,1,normal,True,,2008
E1,E1,,1,renamed,False,P147,2008
E1*,E1*,,2,renamed,True,,2008
E1a,E1a,,2,renamed,False,"M33, M132",2008
E1a*,E1a*,,3,new,True,,2008
E1a1,E1a1,,3,new,False,M44,2008
E1a2,E1a2,,3,new,False,P110,2008
E1b,E1b,,2,new,False,P177,2008
E1b*,E1b*,,3,new,True,,2008
E1b1,E1b1,,3,new,False,"DYS391p, P2, P179, P180, P181",2008
E1b1*,E1b1*,,4,new,True,,2008
E1b1a,E1b1a,,4,new,False,"DYS271, M180, P88, P1, P46, P182, P189, P211, P293",2008
E1b1a*,E1b1a*,,5,new,True,,2008
E1b1a1,E1b1a1,,5,new,False,M58,2008
E1b1a2,E1b1a2,,5,new,False,M116.2,2008
E1b1a3,E1b1a3,,5,new,False,M149,2008
E1b1a4,E1b1a4,,5,new,False,M154,2008
E1b1a5,E1b1a5,,5,new,False,M155,2008
E1b1a6,E1b1a6,,5,new,False,"M10, M66, M156, M195",2008
E1b1a7,E1b1a7,,5,new,False,"M191, U186, P253, ",2008
E1b1a7*,E1b1a7*,,6,new,True,,2008
E1b1a7a,E1b1a7a,,6,new,False,"P252, ",2008
E1b1a7a*,E1b1a7a*,,7,new,True,,2008
E1b1a7a1,E1b1a7a1,,7,new,False,P9.2,2008
E1b1a7a2,E1b1a7a2,,7,new,False,P115,2008
E1b1a7a3,E1b1a7a3,,7,new,False,P116,2008
E1b1a7a3*,E1b1a7a3*,,8,new,True,,2008
E1b1a7a3a,E1b1a7a3a,,8,new,False,P113,2008
E1b1a8,E1b1a8,,5,new,False,U175,2008
E1b1a8*,E1b1a8*,,6,new,True,,2008
E1b1a8a,E1b1a8a,,6,new,False,"P277, P278, U209",2008
E1b1a8a*,E1b1a8a*,,7,new,True,,2008
E1b1a8a1,E1b1a8a1,,7,new,False,U290,2008
E1b1a8a1*,E1b1a8a1*,,8,new,True,,2008
E1b1a8a1a,E1b1a8a1a,,8,new,False,U181,2008
E1b1a8a2,E1b1a8a2,,7,new,False,P59,2008
E1b1a9,E1b1a9,,5,new,False,"P268, P269",2008
E1b1b,E1b1b,,4,new,False,M215,2008
E1b1b*,E1b1b*,,5,new,True,,2008
E1b1b1,E1b1b1,,5,new,False,M35,2008
E1b1b1*,E1b1b1*,,6,new,True,,2008
E1b1b1a,E1b1b1a,,6,new,False,"L18, M78, V68",2008
E1b1b1a*,E1b1b1a*,,7,new,True,,2008
E1b1b1a1,E1b1b1a1,,7,new,False,V12,2008
E1b1b1a1*,E1b1b1a1*,,8,new,True,,2008
E1b1b1a1a,E1b1b1a1a,,8,new,False,M224,2008
E1b1b1a1b,E1b1b1a1b,,8,new,False,V32,2008
E1b1b1a2,E1b1b1a2,,7,new,False,"V13, V36",2008
E1b1b1a2*,E1b1b1a2*,,8,new,True,,2008
E1b1b1a2a,E1b1b1a2a,,8,new,False,V27,2008
E1b1b1a2b,E1b1b1a2b,,8,new,False,P65,2008
E1b1b1a2c,E1b1b1a2c,,8,new,False,L17,2008
E1b1b1a3,E1b1b1a3,,7,new,False,V22,2008
E1b1b1a3*,E1b1b1a3*,,8,new,True,,2008
E1b1b1a3a,E1b1b1a3a,,8,new,False,M148,2008
E1b1b1a3b,E1b1b1a3b,,8,new,False,V19,2008
E1b1b1a4,E1b1b1a4,,7,new,False,V65,2008
E1b1b1a5,E1b1b1a5,,7,new,False,M521,2008
E1b1b1b,E1b1b1b,,6,new,False,M81,2008
E1b1b1b*,E1b1b1b*,,7,new,True,,2008
E1b1b1b1,E1b1b1b1,,7,new,False,M107,2008
E1b1b1b2,E1b1b1b2,,7,new,False,M183   (formerly E1b1b1b),2008
E1b1b1b2a,E1b1b1b2a,,8,new,False,M165,2008
E1b1b1b2b,E1b1b1b2b,,8,new,False,M243,2008
E1b1b1b2c,E1b1b1b2c,,8,new,False,M310,2008
E1b1b1b2d,E1b1b1b2d,,8,new,False,L19,2008
E1b1b1c,E1b1b1c,,6,new,False,M123,2008
E1b1b1c*,E1b1b1c*,,7,new,True,,2008
E1b1b1c1,E1b1b1c1,,7,new,False,M34,2008
E1b1b1c1*,E1b1b1c1*,,8,new,True,,2008
E1b1b1c1a,E1b1b1c1a,,8,new,False,M84,2008
E1b1b1c1a1,E1b1b1c1a1,,9,new,False,M136   (formerly E1b1b1c1a),2008
E1b1b1c1b,E1b1b1c1b,,8,new,False,M290,2008
E1b1b1d,E1b1b1d,,6,new,False,M281,2008
E1b1b1e,E1b1b1e,,6,new,False,V6,2008
E1b1b1f,E1b1b1f,,6,new,False,P72,2008
E1b1b1g,E1b1b1g,,6,new,False,M293,2008
E1b1c,E1b1c,,4,new,False,M329,2008
E1b2,E1b2,,3,new,False,P75,2008
E2,E2,,1,normal,False,"M75, P68",2008
E2*,E2*,,2,normal,True,,2008
E2a,E2a,,2,normal,False,M41,2008
E2b,E2b,,2,normal,False,"M54, M90, M98",2008
E2b*,E2b*,,3,renamed,True,,2008
E2b1,E2b1,,3,renamed,False,M85,2008
E2b1*,E2b1*,,4,new,True,,2008
E2b1a,E2b1a,,4,new,False,M200,2008
E2b1a*,E2b1a*,,5,new,True,,2008
E2b1a1,E2b1a1,,5,new,False,P45,2008
E2b1a2,E2b1a2,,5,new,False,P258,2008
F*,F*,,1,normal,True,,2008
F1,F1,,1,normal,False,"P91, P104",2008
F2,F2,,1,normal,False,"M427, M428",2008
F3,F3,,1,new,False,P96,2008
F4,F4,,1,new,False,P254,2008
G*,G*,,1,normal,True,,2008
G1,G1,,1,normal,False,"M285, M342",2008
G1*,G1*,,2,normal,True,,2008
G1a,G1a,,2,normal,False,P20,2008
G1b,G1b,,2,new,False,P76,2008
G2,G2,,1,renamed,False,P287,2008
G2*,G2*,,2,renamed,True,,2008
G2a,G2a,,2,renamed,False,"P15, U5   (formerly G2)",2008
G2a*,G2a*,,3,renamed,True,,2008
G2a1,G2a1,,3,renamed,False,P16   (formerly G2a),2008
G2a1*,G2a1*,,4,new,True,,2008
G2a1a,G2a1a,,4,new,False,P18   (formerly G2a1),2008
G2a2,G2a2,,3,new,False,M286   (formerly G2b),2008
