snp	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
--					C3c*, J2a4h1b*, Q1b*, Q1b1*	C3c*, Q1b*, Q1b1*, Q1b1a*	C3a3*, J2a1h2d*	C3b*, C3b2*, J2a1h2d*	C2b*, C2b1*, C2b1a*, C2b1b*, J2a1h2d*			
-This was previously classified as K(xLT)									K2	K2	K2	K2
-   (unobserved)					I2a2*							
.									O			I2a1b1, Q1b1a2a3a
.
FGC10797												N1a2
. S7209												R1b1a1a2a1a2c1a5, b1a1c1a
. Y21456												N1a1a1a1a1a2a1a2d~
.1			CF, P	I1	I2b2, I2b2	E1b1b1, G2a3b, I1, I2a1a, I2a1b2, Q1b1a1	R1b1a2a1a1a1	J1a2b1, Q1, Q1a2b1, R1b1a2a, R1b1a2a1a2c1b2, R1b1a2a1a2c1d, R1b1a2a1a2c1f2c1, S1d	NO, I1a1b2, I1a1b2, R2a1a, S1d	D, E1b1b1a, I2c1a1, Q1a2c, R1a1a1b1a1b, R1b1a2a1a1c2b2a1a1, R2a1a	I1a3a2a1a	I1a3b1a1, I2, J1a2a1a2d2b2b2c4d2a2a3a1a1a1~
.2			Q1	O1a1					E1b1b1a1b2b, Q1a2b2a, R1a1a1b1a2b1, R1b1a2a1a2c1g1a1	R1a1a1b1a2b1	R1a1a1b1a2b1	G1a1a1, G1a1a1~, R1a1a1b1a2b1
.F5278												Q1a2a2~
.FGC17486												J1a2a1a2d2b2b2c2c1a~
.Y21599											H2, H2~	H2, H2~
0000256.2											G2a2b2a1a1b1a1a2a6~	
002611			O3a4	O3a4	O3a4							
002611are the short-form notation for
IMS-JST022454			O3a									
021354			O3a, O3a, O3a3									
021354

�      �      
�      �      
O3a3*   -

�      �      
�      �      
O3a3a   M159   (formerly O3a3)

�      �      
�      �      
O3a3b   M7   (formerly O3a4)

�      �      
�      �      
�      
O3a3b*   -

�      �      
�      �      
�      
O3a3b1   
M113			O3a									
021354
The numbered SNPS 022454			O3a									
021355			D	D	D							
022454			O2b, O3a	O2b	O2b							
022457			D2a1b									
0671											D1b1c1a1b	D1b1c1a1b
1									N1c	N1c		b~, b~, G1a1b2a1c, 1b, I1a1b1a4a1a, d, I1a1b1a4a1a1e1a, I1a1b1a4a2d, I1a1b1a4a2f, I1a2a1a1a2b1b, I1a2a1a1a4a, I1a2a1a1a6~, 2b, I1a2a1a1d1a1c2, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a1, 3a1, 3a2, 3a2, 4, 4, 4a, 4a, 4b, 4b, 4b2, 4b2, 5, 5b1, 5b1, 5b1a, 5b1a, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, I2a1b1, J1a2a1a2d2b2b2c4d2a2a6a1e2b1a, R1b1a1a2a1a2c1a1a1a1a1a1a2c, R1b1a1a2a1a2c1a3a2a2b
1
  FGC1917												2b, Q1b2b1b
10028												I2a1b1a1c
1008											E1b1a2, E1b1a2a~, E1b1a2a1~	E1b1a2, E1b1a2a~, E1b1a2a1~
10503												I2a2a1b2a~
1099											E1b1a1a1a1c1a1a3a1c1a1	
1128											E1b1a2	E1b1a2
1152											N1c1a1a1b1a1a2	
12377									C1b1b			
12f2.1	J	J	J	J	J		J	J	J	J	J	J
12f2.2	D2	D2	D2	D2	D2		D2	D2	D1b	D1b		
132-143			O3a									
13:86-93			O3a									
1412												G2a2b1a2b~
14877												I2a1b2a1a1d1a
14889												I2a1b1a1c1
14a												6i
15489												R1b1a1a2a1a2c1a5b1a1a1a1a1a2
15807												R1b1a1a2b1a2a
15809												R1b1a1a2b1a2a2
172:2431-2439			O3a									
173											E1b1a1a1a1c2c3a3	E1b1a1a1a1c2c3a3
17418												O2a2b2a2b1
17708												I2a1b1a2a2a
18001												I2a1b1a1b1a
188											N1c1a1a1a1a1a5~	N1a1a1a1a1a1a1a5~
18895												H2
18:35-50			O3a									
1925												I1a2a1a1a2f~
19318												Q1b1a1a1i1
1999.
Tan S			O3a									
1a												b~, G2a2b2a1a1b1a1e, d, I1a2a1a1a2a2a, I1a2a1a1d1a, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, I2a2a1b2a1b1a1a1a1c, Q1b1a1a1i1a, Q1b1a1a1k, Q1b2b1b, R1b1a1a2a, a2a1c, R1b1a1a2a1a2c1a2b2a, 2c1a1b
1a1												I1a1b1a4a2e, 2b, Q1b1a1a1e1b, Q1b2b1b
1a1a											H1a1a4b2c	H1a1a4b2c, 2b, Q1b2b1b
1a1a1												2b, Q1b2b1b
1a2a												I1a2a1a1a5
1a3												N1a1a1a1a1a1a
1a~												5b
1b												b~, G2a2b2a1a1b1a1a2b1a1e, G2a2b2a1a1b1a1a2b1a1f, G2a2b2a1a1b1a1a2b1a1g, G2a2b2a1a1b1a1a2b1a2, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1
1b1												b~, G2a2b2a1a1b1a1a2b, G2a2b2a1a1b1a1a2b1a1e, G2a2b2a1a1b1a1a2b1a1f, G2a2b2a1a1b1a1a2b1a1g, G2a2b2a1a1b1a1a2b1a2, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, I2a2a1b2a1b1a1a1a1a, Q1b1a1b3
1c												b~, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f
1d												b~, b~, 1b, 1b, d, d, 2b, 2b, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a1, 3a1, 3a2, 3a2, 4, 4, 4a, 4a, 4b, 4b, 4b2, 4b2, 5, 5, 5b1, 5b1, 5b1a, 5b1a, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c
1e												b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d
1e1												b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e
1e1a												b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1
1e2												I, b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a
1f												I, I, I, I, I, I, I, I, I, I, I, I, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, d, d, d, d, d, d, d, d, d, d, d, d, 3, 3, 3, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2a1, 2a1, 2a1, 2a1, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3a, 3a, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3b, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, a1a~, a1a~, a1a~, a1a~
1~											G2a2b2a1a1b1a1a7a	I, I, I, b~, b~, b~, b~, b~, 1, 1, 1, G2a2b2a1a1b1a1a2a1a3a, 1b, 1b, 1b, d, d, d, d, 3, 3, I1a1b1a4a2a1a, 2a, 2a, 2b, 2b, 2b, 2b, 2a1, 2a1, 2a1a, 2a1a, I1a2a1a1d2c, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d2, d2, d2, d2, d2, d2, d2, d2, c~, c~, c~, c~, c~, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3a, 3a, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3b, 3b, 4, 4, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b, 4b, 4b, 4b2, 4b2, 4b2, 4b2, 4b2, 5, 5, 5, 5, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c, 1c, 1d, 1d, 1d, 1e, 1e, 1e, 1e1, 1e1, 1e1, 1e1a, 1e1a, 1e1a, 1e2, 1e2, 1e2, 1f, 1f, a1a~, a1a~, 3b1, 3b1, a2~, a2~, a2a, J1a2a1a2d2b2b2c4d2a2a3a, J1a2a1a2d2b2b2c4d2a2a6a1b1a1a1b1c, J1a2a1a2d2b2b2c4d2a2a6a1d1a1b2a1a, 6k2d, Q1b2b1a2d
